state,total_payments,total_providers,total_services,avg_markup_ratio
CA,93195368563.16098,838654,2377946223,3.6777188192173984
FL,80396885535.7517,666562,2564971227,3.5742412369324232
TX,62945994956.156166,682975,1889700097,4.263280668181879
NY,58202088428.68108,740900,1480111638,3.8170657709791636
NJ,36586660521.01855,328163,1067141039,3.907982738585313
IL,35370702909.09148,436287,1043604424,3.96364623275586
PA,34489393695.14271,535321,982509767,3.4771184721006536
NC,27888211885.481174,357596,895134944,3.7661060742662573
OH,24794257490.2804,430278,692542111,3.6931961017049555
GA,23880854381.19937,293028,733241802,4.118806722024018
MD,23750022761.669624,223134,616471585,3.317547804242786
MI,23636095677.850613,377865,612240150,3.2664210178362043
VA,23201746597.221134,264222,692182348,3.481527940241638
MA,21776753246.448658,331016,519671352,4.096641211619532
AZ,21757533552.821663,210931,638765185,3.5392161816474146
TN,20356600937.460606,246572,687690909,3.9017135536509304
SC,15783732855.330103,161651,498869912,3.701763055261401
IN,15685227965.26035,220843,436245677,3.8627166143374265
AL,14483982029.86695,149728,518064823,3.7106611562987366
MO,14481161171.800846,213166,439825976,3.9393549791133395
WA,14312061541.07996,243216,380646546,3.5250424089504047
LA,11220246921.610182,147444,301644968,4.030630946691908
WI,10965873157.042362,225896,259196980,5.204058959942287
CO,10852606546.569338,175259,313195514,3.837583459583593
KY,10744846403.92013,160099,308702209,3.5262885604422203
OK,10278754379.340584,117897,301325909,3.6343737729148926
CT,9663738701.310268,155536,222160861,3.6594298691025307
AR,8819292301.970205,90680,302182245,3.524266490741917
KS,8640750982.999949,106998,296359666,3.7583599586146668
MS,8623133278.610111,86878,261062242,4.0292008701717
MN,8227677248.340573,234310,252202291,4.074945220580392
NV,8024604790.090004,74326,230199970,4.272857325572264
IA,7074985374.690175,112888,205683016,3.56944716795936
OR,6709842808.320013,129743,192439875,3.951340959475892
NE,5275288091.929225,75928,174936410,3.5077838907638887
UT,4997756833.359824,78771,118321207,3.235122733930746
WV,4114571353.070672,66614,118080451,3.6106780851213003
DE,3844939064.4497833,40007,95404864,3.4057667190501277
NM,3419190190.3998594,59725,93545939,3.74282660592878
NH,3231381625.3901434,63233,71345801,4.40840006631844
ID,3123621427.369637,53929,81368651,2.888229642587365
ME,2773534002.350277,63066,77788333,3.177289300019914
RI,2497182455.949819,45730,66254145,3.5632123192476133
MT,2103538638.399972,41606,48549562,3.2302754994455953
SD,2021520124.7098918,38942,51220450,3.4243778754831187
DC,2013590128.1202328,33697,39234601,3.4246970324682358
HI,1970528989.6398745,35676,52420454,3.4250778912081237
ND,1667841674.6700368,35119,45465449,3.7363136439447753
AK,1445044405.9602923,25432,33549938,5.459621305045023
VT,1173084100.770028,28006,33979774,3.354060993740708
WY,1133885036.8699818,19794,37652626,4.386259558330714
PR,866186312.2999382,46998,27516838,2.0532932175151957
GU,132643280.18003052,1814,3674596,2.7407584745076528
VI,113769773.81005912,1609,3423826,3.3417188846201222
XX,26597833.22002045,327,1195997,3.492167101041357
AE,26596373.419983294,466,1104259,3.3494245325579546
ZZ,21039056.78999503,691,365431,5.215999746346657
MP,11592590.390017755,290,255700,2.365619068506645
AP,11096545.320004648,338,171920,5.356264244948121
AA,4150238.489998913,111,133852,6.846750599633386
AS,386709.51000045333,22,14495,6.90732431172351
FM,46362.199999920005,2,686,2.9721195283784367
PW,31338.4300000765,5,453,4.87112787715777
