npi,name,specialty,state,total_payments,total_services
1538144910,Laboratory Corporation Of America Holdings,Clinical Laboratory,NC,2203741736.8919415,152266869
1629407069,"Exact Sciences Laboratories, Llc",Clinical Laboratory,WI,1640797632.9921796,3272275
1063497451,Laboratory Corporation Of America Holdings,Clinical Laboratory,NJ,1249488503.458838,98949653
1891731626,Quest Diagnostics Clinical Laboratories Inc,Clinical Laboratory,FL,1046178855.5987617,81997768
1932145778,Quest Diagnostics Incorporated,Clinical Laboratory,NJ,927210475.6783448,71323824
1215003603,"Genomic Health, Inc.",Clinical Laboratory,CA,887613089.4199691,252134
1366479099,Unilab Corporation,Clinical Laboratory,CA,868839405.1787347,65876811
1134277494,"Bioreference Health, Llc",Clinical Laboratory,NJ,840998963.890489,43158698
1689607384,Caredx Inc.,Clinical Laboratory,CA,750987766.3550587,262418
1407855240,"Rocky Mountain Holdings, Llc",Ambulance Service Provider,AL,740053925.3670049,10213998
1295726032,Laboratory Corporation Of America Holdings,Clinical Laboratory,AL,692687545.7090557,55460257
1427320399,"Cardionet, Llc.",Independent Diagnostic Testing Facility (IDTF),CA,662017714.2812173,1282157
1932184322,Laboratory Corporation Of America Holdings,Clinical Laboratory,OH,659229854.6011853,54411737
1700865094,Symphony Diagnostic Services No 1 Llc,Portable X-Ray Supplier,MD,654634802.4283485,19753833
1932166386,Quest Diagnostics Clinical Laboratories Inc,Clinical Laboratory,GA,599206541.849635,43683593
1659352276,Laboratory Corporation Of America,Clinical Laboratory,CA,592365863.0395008,48962465
1497933162,"Millennium Health, Llc",Clinical Laboratory,CA,587869785.9209276,16327028
1538105366,Sonora Quest Laboratories Llc,Clinical Laboratory,AZ,565305662.9005077,46898759
1194769497,"Clinical Pathology Laboratories, Inc.",Clinical Laboratory,TX,540965067.2783862,42680687
1669484473,"Myriad Genetic Laboratories, Inc.",Clinical Laboratory,UT,536112970.4300574,324423
1184045619,"Guardant Health, Inc.",Clinical Laboratory,CA,497974586.23960733,126519
1619913449,Unilab Corporation,Clinical Laboratory,CA,476104045.2095623,39496101
1255314704,Laboratory Corporation Of America,Clinical Laboratory,FL,463106661.20053846,37377608
1063414258,"Boston Scientific Cardiac Diagnostic Services, Llc",Independent Diagnostic Testing Facility (IDTF),TX,454840708.3597802,1084943
1790721538,Quest Diagnostics Clinical Laboratories Inc,Clinical Laboratory,TX,453192910.69130063,35873096
1881630614,Quest Diagnostics Llc Il,Clinical Laboratory,IL,446210553.9899869,34356644
1699795500,Walgreen Co,Centralized Flu,CO,445878404.8085587,13562375
1609812445,Labone Llc,Clinical Laboratory,KS,435471914.2195079,33848326
1699782722,Aegis Sciences Corporation,Clinical Laboratory,TN,419339936.0315463,7653051
1518903350,Quest Diagnostics Clinical Laboratories Inc,Clinical Laboratory,FL,417144308.0799577,32267307
1316943566,"Acadian Ambulance Service, Inc.",Ambulance Service Provider,LA,401467183.63033193,14779679
1710130539,"Irhythm Technologies, Inc.",Independent Diagnostic Testing Facility (IDTF),CA,393004539.5999073,1800862
1740262880,Laboratory Corporation Of America,Clinical Laboratory,AZ,389801381.60015583,29371966
1265418669,Laboratory Corporation Of America,Clinical Laboratory,TX,389616586.3099812,31784276
1013973866,"Caris Mpi, Inc.",Clinical Laboratory,AZ,382639081.5302468,1162225
1316206220,Invitae Corporation,Clinical Laboratory,CA,364886349.08875114,306478
1760418370,"Alere Home Monitoring, Inc.",Independent Diagnostic Testing Facility (IDTF),CA,361447989.64296794,4239936
1205872041,Quest Diagnostics Clinical Laboratories Inc,Clinical Laboratory,PA,340559936.820068,26693285
1336420140,"Mdinr, Llc",Independent Diagnostic Testing Facility (IDTF),CA,333488686.62015814,4098578
1245307818,Quest Diagnostics Incorporated Md,Clinical Laboratory,MD,318396968.2897056,26335569
1326104613,Quest Diagnostics Clinical Laboratories Inc,Clinical Laboratory,TX,311154451.0601044,26055971
1881679751,Laboratory Corporation Of America,Clinical Laboratory,TX,299419011.5004539,24724265
1366543795,Northwell Health Laboratories,Clinical Laboratory,NY,299398153.16019255,20516310
1861568784,Ambry Genetics Corporation,Clinical Laboratory,CA,288301623.69764054,292965
1376587113,"Sunrise Medical Laboratories, Inc.",Clinical Laboratory,NY,281232249.3506166,20974805
1255367843,"Lifewatch Services, Inc",Independent Diagnostic Testing Facility (IDTF),IL,281123190.97995853,704531
1194062448,Quest Diagnostics Massachusetts Llc,Clinical Laboratory,MA,276525483.1501654,19943656
1952519696,Safeway Inc,Centralized Flu,ID,272849586.04960036,7799789
1558672279,"Natera, Inc.",Clinical Laboratory,CA,271507297.3701862,78243
1346233277,Unknown,Unknown,,269125374.45003724,29432593
1952347791,Quest Diagnostics Llc,Clinical Laboratory,MA,268593025.2902348,21055948
1770734253,"Castle Biosciences, Inc",Clinical Laboratory,AZ,258797727.0600559,41451
1235363052,"Assurex Health, Inc.",Clinical Laboratory,OH,253010263.34916705,188331
1134438427,"Veracyte, Inc.",Clinical Laboratory,CA,251590230.52974105,293364
1467433292,"Inform Diagnostics, Inc",Clinical Laboratory,TX,246344268.0794969,4537473
1720688054,"Foundation Medicine, Inc.",Clinical Laboratory,MA,232330593.72922093,90647
1831618768,Unknown,Unknown,,227663087.27015233,509336
1770830606,Cardiac Imaging Inc,Independent Diagnostic Testing Facility (IDTF),IL,223381056.78920597,662698
1770833121,Veracyte Labs Sd Corporation,Clinical Laboratory,CA,221604430.55867338,104238
1710064811,"A2cl Services, Llc",Clinical Laboratory,WI,221285035.12955508,16404233
1447437355,Neogenomics Laboratories Inc,Clinical Laboratory,CA,216355203.19033843,1963811
1083715460,New York City Health And Hospitals Corporation,Ambulance Service Provider,NY,213912435.37953734,1948992
1740733708,"Tempus Ai, Inc.",Clinical Laboratory,IL,213412279.95940837,286722
1306171673,Unknown,Unknown,,213079066.44986233,313210
1386837367,Life Flight Network Llc,Ambulance Service Provider,OR,211961409.31959602,3813261
1265542765,Seniorcare Emergency Medical Services Inc.,Ambulance Service Provider,NY,211635843.11007586,4145292
1417915653,Accredo Health Group Inc,Pharmacy,PA,208694022.4108566,97221899
1760707582,Brewster Ambulance Service Inc.,Ambulance Service Provider,MA,207133644.14985666,6645557
1225110497,"Accu Reference Medical Lab, Llc",Clinical Laboratory,NJ,204874891.8901916,11079073
1235186800,"Pathgroup Labs, Llc",Clinical Laboratory,NC,203661170.18004707,15518275
1073599478,Laboratory Corporation Of America,Clinical Laboratory,WA,203054076.0996883,16825684
1548370745,Memphis Pathology Laboratory,Clinical Laboratory,TN,198336166.91988343,15113774
1265714091,Unknown,Unknown,,196571670.92022932,67948
1750676870,Acadian Ambulance Service Of Texas Llc,Ambulance Service Provider,TX,192959293.2499892,8389827
1740240753,Neogenomics Laboratories Inc,Clinical Laboratory,CA,189182530.76076856,2588375
1013998921,"Caremark, L.L.C.",Pharmacy,CA,188606114.00914863,70635804
1043243538,American Medical Response Of Connecticut Incorporated,Ambulance Service Provider,CT,188398871.0197707,4661211
1922259753,Boston Heart Diagnostics Corporation,Clinical Laboratory,MA,185086379.41987857,9550116
1679520571,County Of Pinellas Board Of County Commissioners,Ambulance Service Provider,FL,182313853.70928252,3744445
1043256886,Quest Diagnostics Incorporated,Clinical Laboratory,NV,182067749.96994108,14591912
1275971707,Unknown,Unknown,,180943480.6398641,1089004
1790101681,"American Health Mw, Llc",Clinical Laboratory,OH,178872421.78012693,39229139
1336149426,Cochlear Americas,All Other Suppliers,CO,178859391.8604435,3725870
1295823540,"American Health S, Llc",Clinical Laboratory,FL,175701423.94020513,25649981
1639131436,Falck Mobile Health Corp,Ambulance Service Provider,CA,175018759.0394736,2509173
1245561349,Unknown,Unknown,,168366145.169602,4483242
1720342884,Unknown,Unknown,,166157736.35940054,1290476
1336107838,"Superior Air-Ground Ambulance Service, Inc",Ambulance Service Provider,IL,161772923.65966526,5523271
1043344435,"Biotheranostics, Inc.",Clinical Laboratory,CA,160657189.6897228,51999
1316058217,Vaxcare Corporation,Centralized Flu,FL,160595994.510063,2979293
1659655124,Cap Diagnostics Llc,Clinical Laboratory,CA,155786902.03016424,3151341
1245657675,Unknown,Unknown,,155563468.23040003,361508
1629209853,Unknown,Unknown,,152057513.77002144,6195579
1083789564,City Of Los Angeles,Ambulance Service Provider,CA,150399589.38970724,1621788
1134169535,Reach Air Medical Services Llc,Ambulance Service Provider,CA,146772296.2801764,2575459
1871724864,"Lone Star Ambulance 1, Llc",Ambulance Service Provider,TX,142750800.4196851,6522506
1174009245,"Vikor Scientific, Llc",Clinical Laboratory,SC,140995610.71007562,3220628
1669515391,Unknown,Unknown,,139753466.47999245,10552339
1598747651,Laboratory Corporation Of America,Clinical Laboratory,CO,139296572.29991868,12076682
1255987475,Ira Denny,Nurse Practitioner,AZ,135302193.2503117,155993
